172.26.33.145;SARA_VIGATEC_CSR_R7_23200;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;144;22:05:55.60;8.33%;199.323.904;SAM
172.26.33.17;SAR8_V2_LA_REINA_CSR_R3_13015;7705SAR-8v2;B-7.0.R9;10.1.1.1/24;312;10:40:13.06;88.16%;730.417.008;SAM
172.26.33.147;SARA_A_SEPULVEDA_CSR_R9_13722;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;228;02:01:46.83;5.15%;199.323.904;SAM
172.26.33.148;SARA_RAFAEL_CANAS_CSR_R14_23950;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;278;11:18:01.09;16.31%;198.275.280;SAM
172.26.33.15;SARM_ALCALDE_EDO_CSR_R3_13713;7705SAR-M;B-7.0.R9;10.1.1.1/24;292;10:50:00.72;1.79%;191.075.008;SAM
172.26.33.16;SARM_CARLOS_DITBORN_CSR_R3_13718;7705SAR-M;B-7.0.R9;10.1.1.1/24;278;11:16:51.77;5.47%;197.366.752;SAM
172.26.33.186;SAR8_CORP_NUNOA;7705SAR-8;B-6.2.R7;10.1.1.1/24;392;14:58:10.25;46.52%;122.467.632;SAM
172.26.33.185;SARM_M_LUISA_SANTANDER_CSR_13227;7705SAR-M;B-7.0.R9;10.1.1.1/24;285;10:58:59.91;59.28%;190.026.384;SAM
172.26.33.162;SARA_SN_JOAQUIN_UC_CSR_R29_23909;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;76;15:45:30.52;24.02%;201.421.152;SAM
172.26.33.165;SARA_CALLEJON_EL_SAUCE_CSR_13290;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;144;18:35:32.51;38.26%;199.323.904;SAM
172.26.33.95;SARA_ENC_SN_EUGE_CSR_R9_23302;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;277;11:00:50.22;8.66%;212.956.016;SAM
172.26.33.150;SARM_Z_LA_AGUADA_CSR_R29_23334;7705SAR-M;B-7.0.R9;10.1.1.1/24;284;10:51:33.00;18.56%;203.920.688;SAM
172.26.33.192;SAR8V2_EST_NACIONAL_CSR_CA_13620;7705SAR-8v2;B-7.0.R9;10.1.1.1/24;258;19:49:39.61;94.21%;733.562.928;SAM
172.26.33.19;SARM_MACUL_PLANETAS_CSR_R4_13738;7705SAR-M;B-7.0.R9;10.1.1.1/24;3;02:05:06.96;53.30%;193.958.688;SAM
172.26.33.201;SAR8_NUBLE_CORP_MR_B_13989;7705SAR-8;B-6.2.R7;10.1.1.1/24;90;07:42:38.09;64.29%;143.285.328;SAM
172.26.33.200;SAR8_NUBLE_CORP_MR_A_13989;7705SAR-8;B-6.2.R7;10.1.1.1/24;90;07:35:49.96;62.33%;140.401.648;SAM
172.26.33.20;SARM_COLO_COLO_CSR_R4_13040;7705SAR-M;B-7.0.R9;10.1.1.1/24;285;10:59:22.68;41.68%;191.075.008;SAM
172.26.33.202;SARM_EDIO_NCNAL_2_CSR_CORP_13620;7705SAR-M;B-7.0.R9;10.1.1.1/24;299;11:08:19.54;5.65%;195.269.504;SAM
