172.26.32.215;10;10.52.72.10;d8:ef:cd:69:15:b1;Dyn[I];TO_eNodeB_13L004
172.26.32.215;50;10.52.76.9;38:52:1a:e7:0d:3c;Oth[I];TO_eNodeB_13L004
172.26.32.215;50;10.52.76.10;d8:ef:cd:69:15:b1;Dyn[I];TO_eNodeB_13L004
172.26.32.222;10;10.52.72.189;d4:e3:3f:b2:65:ad;Oth[I];TO_eNodeB_23L165
172.26.32.222;10;10.52.72.190;00:0f:bb:6e:a6:42;Dyn[I];TO_eNodeB_23L165
172.26.32.222;50;10.52.76.189;d4:e3:3f:b2:65:ad;Oth[I];TO_eNodeB_23L165
172.26.32.191;10;10.52.73.209;50:40:61:e3:99:cf;Oth[I];TO_eNodeB_23L791
172.26.32.191;10;10.52.73.210;d8:ef:cd:54:4b:79;Dyn[I];TO_eNodeB_23L791
172.26.32.222;50;10.52.76.190;00:0f:bb:6e:a6:42;Dyn[I];TO_eNodeB_23L165
172.26.32.191;50;10.52.77.209;50:40:61:e3:99:cf;Oth[I];TO_eNodeB_23L791
172.26.32.191;50;10.52.77.210;d8:ef:cd:54:4b:79;Dyn[I];TO_eNodeB_23L791
172.26.32.208;10;10.52.72.45;50:40:61:71:f5:5f;Oth[I];TO_eNodeB_13K314
172.26.32.208;10;10.52.72.46;d8:ef:cd:74:d6:68;Dyn[I];TO_eNodeB_13K314
172.26.32.208;50;10.52.76.45;50:40:61:71:f5:5f;Oth[I];TO_eNodeB_13K314
172.26.32.208;50;10.52.76.46;d8:ef:cd:74:d6:68;Dyn[I];TO_eNodeB_13K314
172.26.32.208;50;10.49.14.5;50:40:61:71:f5:67;Oth[I];TO_BTS_13_314
172.26.32.208;50;10.49.14.6;d8:ef:cd:13:83:f1;Dyn[I];TO_BTS_13_314
172.26.32.220;10;10.52.73.65;d4:e3:3f:a4:f0:5b;Oth[I];TO_eNodeB_23L357
172.26.32.220;10;10.52.73.66;d6:ef:cd:db:11:91;Dyn[I];TO_eNodeB_23L357
172.26.32.210;10;10.52.72.41;d4:e3:3f:8b:6d:31;Oth[I];TO_eNodeB_13L307
172.26.32.208;200;10.48.14.5;50:40:61:71:f5:67;Oth[I];TO_BTS_13_314
172.26.32.210;10;10.52.72.42;d8:ef:cd:4c:32:74;Dyn[I];TO_eNodeB_13L307
172.26.32.220;50;10.52.77.65;d4:e3:3f:a4:f0:5b;Oth[I];TO_eNodeB_23L357
172.26.32.208;200;10.48.14.6;d8:ef:cd:13:83:f1;Dyn[I];TO_BTS_13_314
172.26.32.210;50;10.52.76.41;d4:e3:3f:8b:6d:31;Oth[I];TO_eNodeB_13L307
172.26.32.220;50;10.52.77.66;d6:ef:cd:db:11:91;Dyn[I];TO_eNodeB_23L357
172.26.32.208;1400;172.21.33.121;50:40:61:71:f5:68;Oth[I];TO_TN_ERICSSON_PANAM_NORTE
172.26.32.210;50;10.52.76.42;d8:ef:cd:4c:32:74;Dyn[I];TO_eNodeB_13L307
172.26.32.227;10;10.52.72.81;d4:e3:3f:98:99:cf;Oth[I];TO_eNodeB_13L423
172.26.32.227;10;10.52.72.82;d8:ef:cd:6b:49:40;Dyn[I];TO_eNodeB_13L423
172.26.32.22;10;10.52.72.61;d4:e3:3f:82:e0:05;Oth[I];TO_eNodeB_13K325
172.26.32.22;10;10.52.72.62;d8:ef:cd:ba:cf:d3;Dyn[I];TO_eNodeB_13K325
172.26.32.227;50;10.52.76.81;d4:e3:3f:98:99:cf;Oth[I];TO_eNodeB_13L423
172.26.32.224;10;10.52.72.197;14:3e:60:ad:0c:6f;Oth[I];TO_eNodeB_13L970
172.26.32.224;10;10.52.72.198;00:0f:bb:6e:a7:32;Dyn[I];TO_eNodeB_13L970
172.26.32.227;50;10.52.76.82;d8:ef:cd:6b:49:40;Dyn[I];TO_eNodeB_13L423
172.26.32.22;50;10.52.76.61;d4:e3:3f:82:e0:05;Oth[I];TO_eNodeB_13K325
172.26.32.22;50;10.52.76.62;d8:ef:cd:ba:cf:d3;Dyn[I];TO_eNodeB_13K325
172.26.32.224;50;10.52.76.197;14:3e:60:ad:0c:6f;Oth[I];TO_eNodeB_13L970
172.26.32.224;50;10.52.76.198;00:0f:bb:6e:a7:32;Dyn[I];TO_eNodeB_13L970
172.26.32.212;10;10.52.72.169;7c:20:64:e7:c7:ed;Oth[I];TO_eNodeB_13iL006
172.26.32.212;10;10.52.72.170;00:0f:bb:e2:bd:e1;Dyn[I];TO_eNodeB_13iL006
172.26.32.212;10;10.52.72.245;7c:20:64:e7:c4:fd;Oth[I];TO_eNodeB_33iL251
172.26.32.212;10;10.52.72.246;00:0f:bb:f8:ff:dd;Dyn[I];TO_eNodeB_33iL251
172.26.32.212;10;10.52.72.249;7c:20:64:e7:c5:14;Oth[I];TO_eNodeB_33iL252
172.26.32.212;10;10.52.72.250;00:0f:bb:f8:f8:4d;Dyn[I];TO_eNodeB_33iL252
172.26.32.212;50;10.52.76.169;7c:20:64:e7:c7:ed;Oth[I];TO_eNodeB_13iL006
172.26.32.212;50;10.52.76.170;00:0f:bb:e2:bd:e1;Dyn[I];TO_eNodeB_13iL006
172.26.32.212;50;10.52.76.245;7c:20:64:e7:c4:fd;Oth[I];TO_eNodeB_33iL251
172.26.32.212;50;10.52.76.246;00:0f:bb:f8:ff:dd;Dyn[I];TO_eNodeB_33iL251
172.26.32.212;50;10.52.76.249;7c:20:64:e7:c5:14;Oth[I];TO_eNodeB_33iL252
172.26.32.212;50;10.52.76.250;00:0f:bb:f8:f8:4d;Dyn[I];TO_eNodeB_33iL252
172.26.32.223;10;10.52.72.157;d4:e3:3f:b8:d1:93;Oth[I];TO_eNodeB_13L920
172.26.32.223;10;10.52.72.158;00:0f:bb:a4:30:a9;Dyn[I];TO_eNodeB_13L920
172.26.32.223;50;10.52.76.157;d4:e3:3f:b8:d1:93;Oth[I];TO_eNodeB_13L920
